Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
-33.771111,25.386667,06-02-1996,112.9,1520.0,0.032
-33.771111,25.386667,06-02-2001,81.502,891.0,0.041
-33.771111,25.386667,06-02-2002,163.663,2600.0,0.067
-33.771111,25.386667,06-02-2015,188.234,2109.0,0.211
-33.771111,25.386667,06-03-2000,28.271,415.0,0.022
-33.771111,25.386667,06-03-2001,179.506,2770.0,0.031
-33.771111,25.386667,06-03-2002,200.609,3790.0,0.046
-33.771111,25.386667,06-04-2006,250.241,3720.0,0.024
-33.771111,25.386667,06-04-2011,152.486,1263.0,0.041
-33.771111,25.386667,06-04-2017,188.9,2041.0,1.077
-33.771111,25.386667,06-05-1997,50.9,728.0,0.047
-33.771111,25.386667,06-07-1999,235.0,4200.0,0.458
-33.771111,25.386667,06-07-2004,217.559,4170.0,0.135
-33.771111,25.386667,06-07-2005,194.034,3240.0,0.251
-33.771111,25.386667,06-08-2008,,3270.0,
-33.771111,25.386667,06-09-2006,30.132,484.0,0.034
-33.771111,25.386667,06-10-1998,154.7,2530.0,0.096
-33.771111,25.386667,06-11-2007,12.903,3830.0,0.603
-33.771111,25.386667,06-12-2005,238.851,4620.0,0.067
-33.771111,25.386667,06-12-2012,85.404,1040.0,0.034
-33.771111,25.386667,06-12-2013,80.316,958.0,0.048
-33.771111,25.386667,06-12-2017,241.9,2915.0,1.06
-33.771111,25.386667,07-01-1997,29.0,412.0,0.02
-33.771111,25.386667,07-01-2016,189.808,1987.0,1.587
-33.771111,25.386667,07-02-2000,201.089,3020.0,0.026
-33.771111,25.386667,07-02-2007,249.524,3970.0,0.307
-33.771111,25.386667,07-03-2007,8.0,422.0,0.054
-33.771111,25.386667,07-03-2018,121.4,1825.0,0.259
-33.771111,25.386667,07-04-1998,46.1,533.0,0.111
-33.771111,25.386667,07-04-1999,260.126,4350.0,1.644
-33.771111,25.386667,07-05-2015,55.631,684.0,0.02
-33.771111,25.386667,07-07-1998,178.0,2490.0,0.011
-33.771111,25.386667,07-08-2009,149.419,1670.0,0.139
-33.771111,25.386667,07-09-1999,12.4,635.0,0.027
-33.771111,25.386667,07-10-1997,99.0,1350.0,0.026
-33.771111,25.386667,07-11-2002,147.33,2140.0,0.02
-33.771111,25.386667,07-12-1999,221.75,3800.0,0.02
-33.771111,25.386667,07-12-2009,217.143,2620.0,1.731
-33.771111,25.386667,08-01-2008,62.968,941.0,0.034
-33.771111,25.386667,08-01-2009,81.637,952.0,0.012
-33.771111,25.386667,08-02-2006,176.195,1880.0,0.463
-33.771111,25.386667,08-02-2012,30.492,412.0,0.01
-33.771111,25.386667,08-02-2018,261.9,3081.0,1.595
-33.771111,25.386667,08-03-2006,164.385,1640.0,0.018
-33.771111,25.386667,08-04-1997,14.6,203.0,0.027
-33.771111,25.386667,08-06-1999,249.4,4010.0,0.052
-33.771111,25.386667,08-06-2005,122.186,1720.0,0.041
-33.771111,25.386667,08-06-2016,203.8,1878.0,0.349
-33.771111,25.386667,08-07-1997,55.5,673.0,0.362
-33.771111,25.386667,08-07-2009,175.811,2080.0,0.036
-33.771111,25.386667,08-08-2000,153.502,2200.0,0.006
-33.771111,25.386667,08-09-1998,126.7,2010.0,0.012
-33.771111,25.386667,08-09-2016,156.8,2091.0,0.239
-33.771111,25.386667,08-10-2003,168.136,2500.0,0.116
-33.771111,25.386667,08-10-2014,81.288,1060.0,0.02
-33.771111,25.386667,08-10-2015,52.624,622.0,0.02
-33.771111,25.386667,08-11-2012,42.677,615.0,0.018
-33.771111,25.386667,08-11-2013,65.477,950.0,0.052
-33.771111,25.386667,08-12-2004,123.993,2190.0,0.377
-33.771111,25.386667,09-01-1996,225.4,4240.0,0.93
-33.771111,25.386667,09-01-2002,107.598,1119.0,0.026
-33.771111,25.386667,09-01-2014,144.512,1221.6,0.088
-33.771111,25.386667,09-01-2015,94.843,960.0,0.152
-33.771111,25.386667,09-02-2011,240.323,2259.0,0.01
-33.771111,25.386667,09-06-1998,147.6,2640.0,0.021
-33.771111,25.386667,09-06-1999,239.2,3870.0,0.094
-33.771111,25.386667,09-06-2004,181.317,3130.0,0.03
-33.771111,25.386667,09-07-1996,302.8,4350.0,1.401
-33.771111,25.386667,09-07-1997,61.5,636.0,0.033
-33.771111,25.386667,09-09-1997,65.1,842.0,0.006
-33.771111,25.386667,09-10-2002,56.142,740.0,0.019
-33.771111,25.386667,09-10-2007,256.88,3350.0,1.55
-33.771111,25.386667,09-10-2013,300.8,3810.0,0.42
-33.771111,25.386667,09-11-2004,302.944,4120.0,0.471
-33.771111,25.386667,09-11-2005,187.398,3660.0,0.14
-33.771111,25.386667,09-11-2011,177.15,2193.0,0.01
-33.771111,25.386667,09-11-2017,295.1,3670.0,1.774
-33.771111,25.386667,09-12-1997,186.6,3400.0,0.03
-33.771111,25.386667,09-12-1998,101.0,1460.0,0.015
-33.771111,25.386667,10-01-2007,197.76,2890.0,0.307
-33.771111,25.386667,10-01-2013,189.161,2074.0,0.555
-33.771111,25.386667,10-02-1998,167.6,2830.0,0.029
-33.771111,25.386667,10-02-2016,12.691,2586.0,0.289
-33.771111,25.386667,10-02-2017,189.9,2087.0,0.662
-33.771111,25.386667,10-05-2005,63.49,743.0,0.093
-33.771111,25.386667,10-05-2007,125.409,1700.0,0.055
-33.771111,25.386667,10-06-1997,62.6,862.0,0.043
-33.771111,25.386667,10-06-2009,225.907,3150.0,0.103
-33.771111,25.386667,10-07-2008,,2710.0,
-33.771111,25.386667,10-09-2003,149.597,2260.0,0.028
-33.771111,25.386667,10-12-1996,52.0,919.0,0.01
-33.771111,25.386667,10-12-1997,188.7,3460.0,0.012
-33.771111,25.386667,10-12-2008,97.089,945.0,3.084
-33.771111,25.386667,11-02-1997,120.4,1186.0,0.02
-33.771111,25.386667,11-02-2008,154.123,1850.0,0.086
-33.771111,25.386667,11-03-1997,222.2,2400.0,0.056
-33.771111,25.386667,11-03-2011,154.509,1236.0,0.117
-33.771111,25.386667,11-05-1999,201.64,4000.0,0.025
-33.771111,25.386667,11-06-1996,269.3,4360.0,0.039
-33.771111,25.386667,11-06-2003,69.283,1019.0,0.038
-33.771111,25.386667,11-06-2008,,3230.0,
-33.771111,25.386667,11-07-2000,135.499,2030.0,0.022
-33.771111,25.386667,11-08-1998,101.5,1920.0,0.015
-33.771111,25.386667,11-08-1999,185.2,3110.0,0.127
-33.771111,25.386667,11-09-2002,26.438,563.0,0.064
-33.771111,25.386667,11-10-2017,193.7,2781.0,0.211
-33.771111,25.386667,11-11-1997,159.5,2160.0,0.01
-33.771111,25.386667,11-11-2015,58.694,668.0,0.02
-33.771111,25.386667,11-12-2001,57.006,632.0,0.026
-33.771111,25.386667,11-12-2015,140.128,1073.0,0.024
-33.771111,25.386667,12-01-2011,68.0,736.0,0.195
-33.771111,25.386667,12-01-2012,207.326,2224.0,0.59
-33.771111,25.386667,12-01-2018,292.2,3460.0,3.742
-33.771111,25.386667,12-05-2004,192.017,3340.0,0.062
-33.771111,25.386667,12-09-2007,200.836,2380.0,1.137
-33.771111,25.386667,12-09-2012,60.162,735.0,0.01
-33.771111,25.386667,12-10-1999,204.253,3770.0,0.023
-33.771111,25.386667,12-11-1996,20.9,393.0,0.013
-33.771111,25.386667,12-12-1995,204.6,3770.0,0.064
-33.771111,25.386667,13-01-1998,88.4,1700.0,0.017
-33.771111,25.386667,13-04-1999,195.367,4090.0,0.766
-33.771111,25.386667,13-04-2005,63.041,688.0,0.074
-33.771111,25.386667,13-05-1997,56.5,740.0,0.025
-33.771111,25.386667,13-05-2009,253.0,4330.0,0.027
-33.771111,25.386667,13-06-2000,95.243,1259.0,0.039
-33.771111,25.386667,13-08-2003,156.563,2470.0,0.09
-33.771111,25.386667,13-09-2013,215.064,3091.0,0.196
-33.771111,25.386667,13-10-2004,203.678,2950.0,0.023
-33.771111,25.386667,13-10-2005,226.902,3920.0,0.096
-33.771111,25.386667,13-10-2011,94.848,1303.0,0.023
-33.771111,25.386667,13-12-2006,107.919,1540.0,0.025
-33.771111,25.386667,14-01-1997,47.0,742.0,0.02
-33.771111,25.386667,14-03-2005,83.621,1176.0,0.048
-33.771111,25.386667,14-04-2010,115.961,2590.0,0.085
-33.771111,25.386667,14-05-1996,282.0,4360.0,0.114
-33.771111,25.386667,14-05-2008,,2950.0,0.068
-33.771111,25.386667,14-06-2006,32.093,650.0,0.064
-33.771111,25.386667,14-06-2017,298.5,2595.0,1.114
-33.771111,25.386667,14-07-1998,167.7,2090.0,0.009
-33.771111,25.386667,14-07-2016,238.7,2733.0,0.195
-33.771111,25.386667,14-07-2017,290.6,3570.0,1.501
-33.771111,25.386667,14-08-2000,148.386,2400.0,0.018
-33.771111,25.386667,14-08-2007,146.715,2350.0,0.079
-33.771111,25.386667,14-08-2014,281.752,3269.0,0.37
-33.771111,25.386667,14-10-1997,118.2,1460.0,0.015
-33.771111,25.386667,14-11-1995,230.9,4060.0,0.023
-33.771111,25.386667,14-11-2001,148.79,2190.0,0.022
-33.771111,25.386667,14-12-2016,191.4,2421.0,0.657
-33.771111,25.386667,15-05-2003,47.708,880.0,0.024
-33.771111,25.386667,15-07-1997,57.6,717.0,0.09
-33.771111,25.386667,15-08-2012,33.123,450.0,0.01
-33.771111,25.386667,15-08-2013,193.45,2889.21,1.156
-33.771111,25.386667,15-09-1998,102.3,1278.0,0.008
-33.771111,25.386667,15-09-2004,220.475,3500.0,0.103
-33.771111,25.386667,15-09-2017,224.5,3102.0,2.385
-33.771111,25.386667,15-11-2006,109.207,1460.0,0.036
-33.771111,25.386667,16-01-2001,12.74,363.0,0.055
-33.771111,25.386667,16-02-2005,114.598,1140.0,0.079
-33.771111,25.386667,16-03-1999,226.7,4230.0,0.098
-33.771111,25.386667,16-03-2009,175.201,2180.0,0.085
-33.771111,25.386667,16-03-2017,222.8,2036.0,1.785
-33.771111,25.386667,16-04-2008,179.264,2420.0,0.243
-33.771111,25.386667,16-04-2009,249.093,3450.0,0.396
-33.771111,25.386667,16-05-2000,48.122,726.0,0.045
-33.771111,25.386667,16-06-1998,150.6,1800.0,0.013
-33.771111,25.386667,16-07-2003,87.449,1410.0,0.023
-33.771111,25.386667,16-08-2006,46.769,733.0,0.026
-33.771111,25.386667,16-08-2017,201.1,3015.0,0.02
-33.771111,25.386667,16-09-1997,59.5,909.0,0.022
-33.771111,25.386667,16-12-1997,197.9,3690.0,0.043
-33.771111,25.386667,17-02-1998,188.8,2710.0,0.032
-33.771111,25.386667,17-03-1998,68.7,845.0,0.019
-33.771111,25.386667,17-05-2006,156.156,1870.0,0.345
-33.771111,25.386667,17-05-2017,258.7,2496.0,0.977
-33.771111,25.386667,17-05-2018,239.1,2931.0,0.424
-33.771111,25.386667,17-06-1997,26.9,382.0,0.043
-33.771111,25.386667,17-07-2014,201.001,2464.0,0.527
-33.771111,25.386667,17-08-2004,228.106,3160.0,0.028
-33.771111,25.386667,17-08-2005,209.323,3440.0,0.13
-33.771111,25.386667,17-08-2011,31.807,565.0,0.01
-33.771111,25.386667,17-09-1996,326.9,4560.0,0.119
-33.771111,25.386667,17-09-2015,67.629,595.0,0.02
-33.771111,25.386667,17-10-2001,89.215,1234.0,0.031
-33.771111,25.386667,17-10-2006,102.009,1940.0,0.03
-33.771111,25.386667,17-11-1997,168.2,2590.0,0.026
-33.771111,25.386667,18-02-1997,141.0,1487.0,0.02
-33.771111,25.386667,18-04-2000,23.645,309.0,0.497
-33.771111,25.386667,18-04-2007,99.792,1194.0,0.03
-33.771111,25.386667,18-06-2003,84.771,1510.0,0.099
-33.771111,25.386667,18-07-2013,201.565,2569.0,0.564
-33.771111,25.386667,18-08-1998,83.0,1086.0,0.016
-33.771111,25.386667,18-08-2016,166.5,2102.0,0.307
-33.771111,25.386667,18-09-2001,116.437,1840.0,0.03
-33.771111,25.386667,18-09-2014,217.488,2941.0,0.276
-33.771111,25.386667,18-11-2010,105.91,1491.0,0.17
-33.771111,25.386667,19-01-1999,171.7,2770.0,0.214
-33.771111,25.386667,19-01-2005,43.18,565.0,0.061
-33.771111,25.386667,19-01-2017,169.9,2110.0,0.882
-33.771111,25.386667,19-02-2009,209.032,2800.0,0.497
-33.771111,25.386667,19-03-1998,62.9,995.0,0.011
-33.771111,25.386667,19-03-2008,167.577,1980.0,0.078
-33.771111,25.386667,19-04-2006,244.237,3570.0,0.411
-33.771111,25.386667,19-04-2018,230.1,2939.0,0.113
-33.771111,25.386667,19-06-1997,31.9,453.0,0.033
-33.771111,25.386667,19-07-2007,110.729,1720.0,0.114
-33.771111,25.386667,19-07-2021,213.769,2261.0,2.517
-33.771111,25.386667,19-08-1997,87.4,1188.0,0.027
-33.771111,25.386667,19-08-2002,4.3,261.0,0.09
-33.771111,25.386667,19-09-1995,184.1,3000.0,0.017
-33.771111,25.386667,19-11-1996,14.0,305.0,0.01
-33.771111,25.386667,19-11-2009,185.875,1720.0,1.752
-33.771111,25.386667,19-12-2000,157.119,2160.0,0.023
-33.771111,25.386667,19-12-2007,335.388,4710.0,2.261
-33.771111,25.386667,20-01-1998,117.4,2040.0,0.016
-33.771111,25.386667,20-02-1996,187.5,1870.0,0.019
-33.771111,25.386667,20-04-2004,198.509,3560.0,0.073
-33.771111,25.386667,20-04-2016,373.9,2755.0,0.298
-33.771111,25.386667,20-06-2007,104.734,1660.0,0.02
-33.771111,25.386667,20-06-2012,104.942,1422.0,0.122
-33.771111,25.386667,20-06-2014,161.267,2056.0,0.059
-33.771111,25.386667,20-07-2005,192.295,3310.0,0.046
-33.771111,25.386667,20-08-1996,282.7,4400.0,0.062
-33.771111,25.386667,20-08-2015,45.448,609.0,0.02
-33.771111,25.386667,20-10-1998,157.6,2680.0,0.052
-33.771111,25.386667,20-10-2010,223.624,4120.0,0.326
-33.771111,25.386667,21-01-1997,63.0,1061.0,0.01
-33.771111,25.386667,21-02-2007,230.418,4210.0,0.297
-33.771111,25.386667,21-03-2000,24.889,377.0,0.019
-33.771111,25.386667,21-04-1998,70.3,776.0,0.024
-33.771111,25.386667,21-05-2003,55.731,823.0,0.024
-33.771111,25.386667,21-06-2013,177.782,2412.0,0.01
-33.771111,25.386667,21-07-1998,142.9,2590.0,0.021
-33.771111,25.386667,21-07-2004,218.74,3720.0,0.111
-33.771111,25.386667,21-08-2001,233.9,3930.0,0.093
-33.771111,25.386667,21-10-1997,101.6,1238.0,0.021
-33.771111,25.386667,21-10-1998,162.6,2990.0,0.024
-33.771111,25.386667,21-11-2007,297.731,4140.0,0.452
-33.771111,25.386667,21-12-2004,,2900.0,
-33.771111,25.386667,22-02-2000,175.852,3130.0,0.039
