GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
ZAF00221;1995-05-11;09:30;0.0;DRP;0;;0.031;mg/l;Fair;
ZAF00221;1995-05-02;12:00;0.0;Alk-Tot;0;;88.7;mg/l;Fair;
ZAF00221;1995-05-02;12:00;0.0;EC;0;;453.0;µS/cm;Fair;
ZAF00221;1995-05-02;12:00;0.0;DRP;0;;0.02;mg/l;Fair;
ZAF00221;1995-04-18;11:30;0.0;Alk-Tot;0;;92.7;mg/l;Fair;
ZAF00221;1995-04-18;11:30;0.0;EC;0;;412.0;µS/cm;Fair;
ZAF00221;1995-04-18;11:30;0.0;DRP;0;;0.021;mg/l;Fair;
ZAF00221;1995-04-11;11:00;0.0;Alk-Tot;0;;82.5;mg/l;Fair;
ZAF00221;1995-04-11;11:00;0.0;EC;0;;398.0;µS/cm;Fair;
ZAF00221;1995-04-11;11:00;0.0;DRP;0;;0.037;mg/l;Fair;
ZAF00221;1995-04-25;10:30;0.0;Alk-Tot;0;;89.5;mg/l;Fair;
ZAF00221;1995-04-25;09:15;0.0;Alk-Tot;0;;84.5;mg/l;Fair;
ZAF00221;1995-04-25;10:30;0.0;EC;0;;440.0;µS/cm;Fair;
ZAF00221;1995-04-25;09:15;0.0;EC;0;;449.0;µS/cm;Fair;
ZAF00221;1995-04-25;10:30;0.0;DRP;0;;0.017;mg/l;Fair;
ZAF00221;1995-04-25;09:15;0.0;DRP;0;;0.013;mg/l;Fair;
ZAF00221;1995-05-08;11:00;0.0;Alk-Tot;0;;93.9;mg/l;Fair;
ZAF00221;1995-05-08;11:00;0.0;EC;0;;527.0;µS/cm;Fair;
ZAF00221;1995-05-08;11:00;0.0;DRP;0;;0.018;mg/l;Fair;
ZAF00221;1995-05-15;13:30;0.0;Alk-Tot;0;;93.8;mg/l;Fair;
ZAF00221;1995-05-15;13:30;0.0;EC;0;;487.0;µS/cm;Fair;
ZAF00221;1995-05-15;13:30;0.0;DRP;0;;0.029;mg/l;Fair;
ZAF00221;1995-05-31;13:00;0.0;Alk-Tot;0;;101.5;mg/l;Fair;
ZAF00221;1995-05-31;13:00;0.0;EC;0;;560.0;µS/cm;Fair;
ZAF00221;1995-05-31;13:00;0.0;DRP;0;;0.035;mg/l;Fair;
ZAF00221;1995-06-13;09:00;0.0;Alk-Tot;0;;109.9;mg/l;Fair;
ZAF00221;1995-06-13;09:00;0.0;EC;0;;628.0;µS/cm;Fair;
ZAF00221;1995-06-13;09:00;0.0;DRP;0;;0.018;mg/l;Fair;
ZAF00221;1995-06-21;12:00;0.0;Alk-Tot;0;;110.4;mg/l;Fair;
ZAF00221;1995-06-21;12:00;0.0;EC;0;;729.0;µS/cm;Fair;
ZAF00221;1995-06-21;12:00;0.0;DRP;0;;0.009;mg/l;Fair;
ZAF00221;1995-07-04;12:00;0.0;Alk-Tot;0;;107.5;mg/l;Fair;
ZAF00221;1995-07-04;12:00;0.0;EC;0;;612.0;µS/cm;Fair;
ZAF00221;1995-07-04;12:00;0.0;DRP;0;;0.038;mg/l;Fair;
ZAF00221;1995-07-17;10:45;0.0;Alk-Tot;0;;112.4;mg/l;Fair;
ZAF00221;1995-07-17;10:45;0.0;EC;0;;737.0;µS/cm;Fair;
ZAF00221;1995-07-17;10:45;0.0;DRP;0;;0.009;mg/l;Fair;
ZAF00221;1995-08-02;09:30;0.0;Alk-Tot;0;;113.5;mg/l;Fair;
ZAF00221;1995-08-02;09:30;0.0;EC;0;;709.0;µS/cm;Fair;
ZAF00221;1995-08-02;09:30;0.0;DRP;0;;0.023;mg/l;Fair;
ZAF00221;2012-05-10;10:47;0.0;Alk-Tot;0;;117.206;mg/l;Fair;
ZAF00221;2012-05-10;10:47;0.0;EC;0;;515.0;µS/cm;Fair;
ZAF00221;2012-05-10;10:47;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2012-02-09;10:40;0.0;Alk-Tot;0;;59.676;mg/l;Fair;
ZAF00221;2012-02-09;10:40;0.0;EC;0;;242.0;µS/cm;Fair;
ZAF00221;2012-02-09;10:40;0.0;DRP;0;;0.046;mg/l;Fair;
ZAF00221;2012-01-24;10:00;0.0;Alk-Tot;0;;101.141;mg/l;Fair;
ZAF00221;2012-01-24;10:00;0.0;EC;0;;408.0;µS/cm;Fair;
ZAF00221;2012-01-24;10:00;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2011-11-24;10:00;0.0;Alk-Tot;0;;87.614;mg/l;Fair;
ZAF00221;2011-11-24;10:00;0.0;EC;0;;584.0;µS/cm;Fair;
ZAF00221;2011-11-24;10:00;0.0;DRP;0;;0.047;mg/l;Fair;
ZAF00221;2011-11-09;08:31;0.0;EC;0;;600.0;µS/cm;Fair;
ZAF00221;2011-11-09;08:31;0.0;DRP;0;;0.357;mg/l;Fair;
ZAF00221;2011-10-13;08:53;0.0;EC;0;;650.0;µS/cm;Fair;
ZAF00221;2011-10-13;08:53;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2011-09-01;10:17;0.0;Alk-Tot;0;;86.526;mg/l;Fair;
ZAF00221;2011-09-01;10:17;0.0;EC;0;;524.0;µS/cm;Fair;
ZAF00221;2011-09-01;10:17;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2011-08-04;12:15;0.0;Alk-Tot;0;;61.61;mg/l;Fair;
ZAF00221;2011-08-04;12:15;0.0;EC;0;;429.0;µS/cm;Fair;
ZAF00221;2011-06-30;11:12;0.0;Alk-Tot;0;;65.958;mg/l;Fair;
ZAF00221;2011-06-30;11:12;0.0;EC;0;;429.0;µS/cm;Fair;
ZAF00221;2011-06-30;11:12;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2011-06-02;10:01;0.0;Alk-Tot;0;;63.827;mg/l;Fair;
ZAF00221;2011-06-02;10:01;0.0;EC;0;;335.3;µS/cm;Fair;
ZAF00221;2011-06-02;10:01;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2011-05-03;08:52;0.0;EC;0;;360.0;µS/cm;Fair;
ZAF00221;2011-05-03;08:52;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2011-03-08;10:21;0.0;Alk-Tot;0;;57.89;mg/l;Fair;
ZAF00221;2011-03-08;10:21;0.0;EC;0;;251.4;µS/cm;Fair;
ZAF00221;2011-03-08;10:21;0.0;DRP;0;;0.012;mg/l;Fair;
ZAF00221;2011-02-10;11:55;0.0;Alk-Tot;0;;64.884;mg/l;Fair;
ZAF00221;2011-02-10;11:55;0.0;EC;0;;270.6;µS/cm;Fair;
ZAF00221;2011-02-10;11:55;0.0;DRP;0;<;0.01;mg/l;Fair;
ZAF00221;2010-12-14;09:21;0.0;EC;0;;410.0;µS/cm;Fair;
ZAF00221;2010-12-14;09:21;0.0;DRP;0;;0.3;mg/l;Fair;
ZAF00221;2010-11-24;09:09;0.0;EC;0;;160.0;µS/cm;Fair;
ZAF00221;2010-11-24;09:09;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2010-10-14;09:30;0.0;Alk-Tot;0;;104.531;mg/l;Fair;
ZAF00221;2010-10-14;09:30;0.0;EC;0;;466.0;µS/cm;Fair;
ZAF00221;2010-10-14;09:30;0.0;DRP;0;;0.056;mg/l;Fair;
ZAF00221;2010-08-12;09:45;0.0;Alk-Tot;0;;131.158;mg/l;Fair;
ZAF00221;2010-08-12;09:45;0.0;EC;0;;541.0;µS/cm;Fair;
ZAF00221;2010-08-12;09:45;0.0;DRP;0;;0.15;mg/l;Fair;
ZAF00221;2010-07-21;11:08;0.0;EC;0;;640.0;µS/cm;Fair;
ZAF00221;2010-07-21;11:08;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2010-06-03;10:00;0.0;EC;0;;720.0;µS/cm;Fair;
ZAF00221;2010-06-03;10:00;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2010-05-04;08:58;0.0;EC;0;;650.0;µS/cm;Fair;
ZAF00221;2010-05-04;08:58;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2010-04-07;08:24;0.0;Alk-Tot;0;;157.188;mg/l;Fair;
ZAF00221;2010-04-07;08:24;0.0;EC;0;;686.0;µS/cm;Fair;
ZAF00221;2010-04-07;08:24;0.0;DRP;0;<;0.012;mg/l;Fair;
ZAF00221;2010-02-04;16:07;0.0;Alk-Tot;0;;222.286;mg/l;Fair;
ZAF00221;2010-02-04;16:07;0.0;EC;0;;755.0;µS/cm;Fair;
ZAF00221;2010-02-04;16:07;0.0;DRP;0;;0.152;mg/l;Fair;
ZAF00221;2010-01-21;12:59;0.0;Alk-Tot;0;;147.221;mg/l;Fair;
ZAF00221;2010-01-21;12:59;0.0;EC;0;;736.0;µS/cm;Fair;
ZAF00221;2010-01-21;12:59;0.0;DRP;0;<;0.012;mg/l;Fair;
ZAF00221;2009-11-24;08:25;0.0;EC;0;;670.0;µS/cm;Fair;
ZAF00221;2009-11-24;08:25;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2009-10-15;10:45;0.0;Alk-Tot;0;;131.448;mg/l;Fair;
ZAF00221;2009-10-15;10:45;0.0;EC;0;;815.0;µS/cm;Fair;
ZAF00221;2009-10-15;10:45;0.0;DRP;0;;0.068;mg/l;Fair;
ZAF00221;2009-09-22;10:55;0.0;EC;0;;890.0;µS/cm;Fair;
ZAF00221;2009-09-22;10:55;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2009-08-25;09:11;0.0;EC;0;;830.0;µS/cm;Fair;
ZAF00221;2009-08-25;09:11;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2009-07-29;08:48;0.0;EC;0;;770.0;µS/cm;Fair;
ZAF00221;2009-07-29;08:48;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2009-06-11;15:00;0.0;Alk-Tot;0;;140.708;mg/l;Fair;
ZAF00221;2009-06-11;15:00;0.0;EC;0;;791.0;µS/cm;Fair;
ZAF00221;2009-06-11;15:00;0.0;DRP;0;<;0.012;mg/l;Fair;
ZAF00221;2009-05-07;10:10;0.0;Alk-Tot;0;;152.918;mg/l;Fair;
ZAF00221;2009-05-07;10:10;0.0;EC;0;;754.0;µS/cm;Fair;
ZAF00221;2009-05-07;10:10;0.0;DRP;0;;0.02;mg/l;Fair;
ZAF00221;2009-03-20;10:55;0.0;Alk-Tot;0;;135.72;mg/l;Fair;
ZAF00221;2009-03-20;10:55;0.0;EC;0;;646.0;µS/cm;Fair;
